model,n,MAE_pooled,RMSE_pooled,R2_pooled,MAE_block_macro,RMSE_block_macro
IDW,107,6.570573941798374,8.101534332034749,0.06193763162036825,6.199725965297308,7.399198137530751
Linear,107,5.029200632646957,6.386119724829485,0.4171305770106837,5.6787552175869696,6.872486056428087
Quadratic,107,5.371200724431366,8.188129185863492,0.04177712889685381,8.283133780596618,10.295348710152014
RF_coordinates,107,4.997687868362049,6.409009796630806,0.4129446755360727,4.724754055375636,5.762064576337731
XGB_coordinates,107,4.134696148018239,5.599910267591822,0.5518129575975428,4.184167910259009,5.0448266134895405
