station_id,lat,lon,gwr_pm25_mean,n_obs,coverage,eligible_8080,elevation_m,slope_deg,dist_major_road_m,road_density_500m,built_frac_500m,tree_frac_500m
ag_166942,43.2938,77.2347,34.531485355648535,956,1.0,True,1022.0888671875,5.866808692024903,81.15543796632454,13.111972159808962,0.5794185217460192,0.4037867384932266
ag_166943,43.2639,76.8193,37.41474895397489,956,1.0,True,755.3910522460938,1.0393562538007914,4.938022714891542,23.60416946815725,0.7061622650487747,0.0341819335395352
ag_167207,43.3838,77.1163,33.499264705882354,952,0.99581589958159,True,693.7728881835938,5.862239613138035,167.4488001818002,10.767902616690025,0.6989799952557919,0.222977781292006
ag_167209,43.2018,76.9368,22.103347280334727,956,1.0,True,1003.2681884765624,12.59376015924709,631.5364702101465,11.01805877791218,0.1750753609392352,0.6883230207837537
ag_167210,43.373,76.9431,25.1652719665272,956,1.0,True,674.994140625,4.755847307290814,517.3487720834972,0.0,0.6154272151898734,0.37531645569620253
ag_167213,43.2747,76.9808,27.398012552301257,956,1.0,True,773.8255004882812,7.940750234633794,188.5958829786682,18.46118146584784,0.6152139461172742,0.3766244057052298
ag_167214,43.2618,76.9186,23.827405857740587,956,1.0,True,777.7163696289062,6.129848205975277,35.97823492724598,24.904253472158043,0.6296443000871426,0.3584726293274182
ag_167215,43.2035,76.8869,19.936192468619247,956,1.0,True,954.263916015625,5.812842499971457,61.06219253148228,23.383145041681672,0.6933460377957757,0.2639352072415435
ag_167216,43.2634,76.9319,25.972175732217572,956,1.0,True,771.7279663085938,4.882863266662493,25.897409792050283,24.704052651595735,0.6839476813317479,0.2956004756242568
ag_167221,43.3581,76.9794,43.63995815899582,956,1.0,True,671.0006103515625,2.508562923692519,15.7587576872257,11.715881797506924,0.5949026436599651,0.3115402881114453
ag_167254,43.3238,76.9111,40.57646443514644,956,1.0,True,708.793701171875,3.909890061959955,19.879240039138093,18.57722126254072,0.406109044868244,0.5574107778744956
ag_167255,43.2049,76.8999,22.63888888888889,954,0.997907949790795,True,945.3729248046876,6.22447015811818,68.77213724841945,24.2021278229722,0.6271414974619289,0.226998730964467
