block,model,n,MAE,RMSE,R2
0,TrainingMean,28,6.554430009371882,8.584218954917914,-0.0003059654957831004
0,IDW,28,4.875456500238075,7.937092696562763,0.14482658649728453
0,Linear,28,5.2744306677471915,7.708281028404025,0.19342201263534275
0,Quadratic,28,4.3399796835182824,6.8028837282045895,0.3717718649069769
1,TrainingMean,28,8.975266023226732,10.379306089122808,-1.3133573360821007
1,IDW,28,7.340277305485117,8.895251560656199,-0.6991141310037929
1,Linear,28,4.784481026370711,5.664918782605089,0.31088221539957495
1,Quadratic,28,4.539798800677674,5.3178957767477755,0.3927245483533681
2,TrainingMean,6,3.400265760379734,3.8670933470353273,-0.32663171498496424
2,IDW,6,2.949662724405817,3.3900531658391695,-0.019516086940460475
2,Linear,6,5.866760115520211,6.3839147749074145,-2.6153906083066953
2,Quadratic,6,19.641783195745834,24.25543369853571,-51.191424823917124
3,TrainingMean,38,10.235295298186141,10.7376946772894,-9.942401811956115
3,IDW,38,7.483335286423674,7.9861591759272565,-5.052941559679995
3,Linear,38,4.31508854106207,4.820950221667872,-1.205747782031927
3,Quadratic,38,3.8071965031867223,4.450081602576222,-0.8794315212484332
4,TrainingMean,7,12.43873787889656,12.869795181698933,-14.182430099386616
4,IDW,7,8.32739322930126,8.750679776969344,-6.019102794957223
4,Linear,7,8.114661554210253,9.731652087941473,-7.681028223436353
4,Quadratic,7,9.053027249343332,10.601660273424466,-9.302575035424733
