block,model,n,MAE,RMSE,R2
0,XGBoost_coord_only_tuned,28,9.044465931657848,10.939716587912958,-0.6245886987245888
1,XGBoost_coord_only_tuned,28,7.364669210652472,8.640011199261922,-0.6030043225928667
2,XGBoost_coord_only_tuned,6,4.6838530297425685,5.597575723326157,-1.7795917829633296
3,XGBoost_coord_only_tuned,38,9.390868866660872,9.88387993887812,-8.271403435512013
4,XGBoost_coord_only_tuned,7,5.989445178140275,6.711995795795251,-3.129537090942309
