block,model,n,MAE,RMSE,R2
0,XGBoost_coord_only,28,6.954369306102974,8.952937253473987,-0.08808385754775672
1,XGBoost_coord_only,28,8.235164289842103,9.433279122147892,-0.9108713658799834
2,XGBoost_coord_only,6,5.346794644529353,6.34206827756309,-2.5681482556465123
3,XGBoost_coord_only,38,8.931246235363227,9.85975064586235,-8.226190555647875
4,XGBoost_coord_only,7,6.385414716541759,7.6512034226381544,-4.366084621488528
