kgmt_station_id,airgradient_station_id,n_overlap_days,daily_mean_MAE_ugm3
kgmt_25,ag_167673,0,
kgmt_26,ag_167641,18,35.672400443510746
kgmt_27,ag_167642,25,10.976501091772677
kgmt_28,ag_167689,27,47.89671472663139
kgmt_55,ag_167709,0,
kgmt_56,ag_167257,0,
kgmt_57,ag_167646,18,29.929079741745184
kgmt_58,ag_166943,0,
kgmt_59,ag_167264,21,13.770682439642522
kgmt_60,ag_170429,0,
kgmt_97,ag_167637,26,21.72510997091144
