draw,random_network_mean_MAE_ugm3
0,21.70594805166077
1,28.84633093340034
2,17.758600251192345
3,23.990086433220423
4,19.600903480703305
5,14.202288833030844
6,26.517402473746106
7,19.815895146619223
8,20.73359166635753
9,18.32919438420294
10,14.98822011339032
11,15.323478042976616
12,20.929465111887776
13,23.382056570862904
14,17.034001984371567
15,22.48527984007639
16,18.41834513868576
17,24.571198091413592
18,20.35206419095146
19,26.205720711174227
20,25.251903214461777
21,25.852693528132885
22,15.106075342320706
23,17.753377751411616
24,27.248664669339732
25,23.626854399541262
26,17.86057388621999
27,23.25252566812607
28,19.68718474213223
29,18.74593040592138
30,22.716811611427886
31,21.242852335362944
32,16.69372762164049
33,19.859066677485043
34,16.41549264392316
35,25.655502887792196
36,16.018370739788644
37,22.024335195527332
38,20.084670853725118
39,17.397780897202576
40,22.474169818287606
41,22.359412343009314
42,28.01986257376855
43,20.27669054012622
44,18.831298743643167
45,17.559372134064027
46,19.259923085729024
47,18.383253904584517
48,26.518558614301497
49,24.138688794100858
50,25.42035704380073
51,22.720899366100365
52,23.13939243141637
53,17.613821743433686
54,25.52858711865346
55,19.263221223655
56,20.41456458023882
57,13.589161844846737
58,23.316816945012302
59,24.316188919777176
60,22.55711753711384
61,20.772361881969058
62,22.26838266105385
63,17.495208978892318
64,16.83208160166365
65,20.96535461802424
66,17.987092330200877
67,18.37365190904003
68,16.55090767124017
69,19.97248000873181
70,20.788365063307914
71,16.697988149729174
72,13.111009483416533
73,24.784469051350158
74,20.58358238927298
75,19.872427941674015
76,29.60716882573796
77,24.536933939276427
78,20.73794633225344
79,17.615122403484524
80,23.132452646862365
81,20.303877075001292
82,16.1705080309989
83,28.69509367713576
84,23.499719224162693
85,23.715217106449114
86,19.940854814129548
87,15.559307288574464
88,18.15262098588451
89,16.103948877053913
90,26.54994396255833
91,15.378853734178165
92,17.39826987731756
93,17.035629377197232
94,19.48662846970068
95,19.284846768198644
96,18.60193202033868
97,21.289743583433758
98,17.862874863685658
99,24.786501260821083
100,22.129767820266334
101,20.43607108148427
102,17.96483519001328
103,19.60238921005215
104,19.377795345833047
105,20.44144418702041
106,20.546285348127338
107,18.461606884723665
108,22.013942610803465
109,19.959627142259063
110,24.89456163549707
111,21.339650206478485
112,16.890383937365197
113,20.07218469258823
114,25.303332811245387
115,19.584765693486442
116,19.260202686574598
117,18.527799556950118
118,18.480258578675425
119,21.799060164109502
120,23.026454850778475
121,21.29583168344401
122,24.58959634098336
123,23.297746413217045
124,23.823680538847622
125,21.48516188986235
126,20.81895313681576
127,16.221113557682177
128,17.7449136042749
129,22.42872206522205
130,19.878498538926625
131,15.949094810708445
132,22.09993171614839
133,23.148787911803282
134,22.526398256318206
135,19.618847087571645
136,21.945000122088114
137,26.25327562544001
138,13.372610849421903
139,15.667754121158284
140,17.630257226007206
141,27.97212254765854
142,25.770681369686457
143,24.029703047004805
144,22.626729725799652
145,15.197749870693402
146,25.91670920002737
147,19.828574047854655
148,25.51162431652983
149,17.919561734765143
150,23.01929062026106
151,23.63900044658681
152,23.412524716995744
153,21.417433737998916
154,18.40934864166919
155,23.624886310648275
156,21.692727237331216
157,23.582900166268413
158,24.349248148532606
159,17.317531181568413
160,18.409292216315713
161,19.0837016358619
162,21.64462160016285
163,17.947227825167662
164,22.429680828094877
165,30.141607275078513
166,24.117577549168676
167,22.090343275528284
168,20.8887307360974
169,20.73037103591819
170,23.259476024493296
171,17.24927817072816
172,27.724737357440713
173,15.026036103577889
174,22.08452873986573
175,24.361677970652277
176,18.43647769274882
177,27.29329962024968
178,24.53864574969533
179,16.686719408225404
180,21.546935733079124
181,32.03150416338248
182,17.89818190994097
183,18.0066497698359
184,19.287869653783137
185,18.611295016660545
186,26.85555438180638
187,21.58715414825798
188,13.15418145395345
189,20.540167183739886
190,19.204275347809272
191,16.20920889091479
192,20.65800842326157
193,17.357543687348777
194,26.39840874487011
195,22.58754671125014
196,19.658178335040972
197,22.421637475220525
198,15.562191015504402
199,22.258491059878185
200,17.926549870605175
201,14.303070589525012
202,23.36304135917584
203,22.149288983461066
204,20.06215906977783
205,22.32711977648427
206,21.47586483321705
207,20.42320409699745
208,19.30445985022332
209,14.707743883471409
210,14.833711203905986
211,18.54672599104143
212,15.866815791735554
213,18.3467451993003
214,22.424663842539406
215,20.334352598658807
216,23.775642443104342
217,26.380037357568316
218,18.381062009374567
219,25.68674127310045
220,18.31208408022201
221,23.65044887876701
222,19.91790432227343
223,21.09632557278402
224,18.280614005471147
225,17.011447152929076
226,25.508500911048145
227,17.39183394856606
228,14.149959245529502
229,20.384074628667268
230,21.6367795968756
231,25.99882437896254
232,23.91717873813145
233,22.035517310381866
234,18.60428737502448
235,19.35225122143349
236,23.253058365804076
237,21.296721882312237
238,22.8176963791861
239,16.511546055404025
240,22.29056504711913
241,23.75677710159658
242,28.356567046961157
243,20.048632950941407
244,16.52618432337951
245,18.359837624616
246,22.833242149911708
247,21.901523728141736
248,20.777322175520077
249,17.400914874650727
250,16.29060935739384
251,19.798093558656063
252,18.167436506605448
253,21.321459513745815
254,21.572590964768185
255,15.396247227689331
256,21.997916112303383
257,18.637712291010544
258,18.398936469635604
259,19.56213380964598
260,26.04711144635256
261,21.837902370077888
262,20.640519737940505
263,24.275018464861247
264,27.551234244809816
265,24.154115117109825
266,19.882191203171654
267,23.06057478907014
268,15.403928626068982
269,19.68218237557259
270,24.417028068713147
271,16.14803949785492
272,18.3424940298524
273,14.95904628287868
274,21.864496210160464
275,20.79796402630154
276,22.22338884319907
277,18.097770291497522
278,21.550230243769956
279,26.599525601046327
280,16.85324323657332
281,18.999656878002067
282,19.601237275184996
283,20.61547217294718
284,20.104352129049797
285,16.037361835926497
286,17.64422179204848
287,13.31799358316291
288,21.717061233911405
289,23.777474778745063
290,13.022623636088868
291,18.956875989847788
292,21.207900481051396
293,20.568424024978185
294,17.796579977743626
295,20.55453447514331
296,17.58487119837959
297,22.545877260594626
298,19.768733790448625
299,20.346723674932957
300,21.391033267731164
301,21.56214781176517
302,15.227126930453574
303,19.749876400956534
304,15.394314595978614
305,19.466379397995794
306,23.515304986469754
307,17.06572846370417
308,25.635131654906417
309,16.733613818839277
310,24.743540843551003
311,16.2743132959657
312,20.067082318357127
313,23.828599350557983
314,27.194757258382026
315,17.04765255368786
316,26.070167581425384
317,26.146475916379888
318,20.79288098491994
319,20.603660186564568
320,24.280069551623708
321,18.95704844909945
322,23.869498746887867
323,17.672570811017206
324,19.088815898470205
325,24.684679157790978
326,19.534286934684644
327,16.495045489574135
328,21.2152663428402
329,18.82300341570603
330,19.208365826382057
331,19.428280197209915
332,12.779104024566315
333,16.967517090459378
334,22.19632717749147
335,19.29513294472302
336,21.009153076220183
337,21.807652737836587
338,25.996263383301024
339,23.64882197641987
340,15.519528315162082
341,23.29904846366821
342,22.39622053768781
343,19.845035164511355
344,17.62718328623214
345,15.851434838577035
346,22.76355789559872
347,17.77106956084666
348,25.32025349961393
349,20.89066058603778
350,19.291037122798375
351,20.475091105764278
352,25.886298457914336
353,23.124026472673975
354,21.71411988361949
355,20.37344836163778
356,22.921770840668433
357,19.260020809126317
358,19.04726322135217
359,29.066960249019797
360,17.719056595270278
361,20.633438017999218
362,20.362919794007023
363,17.161894031248632
364,20.840063200596877
365,18.60720130985519
366,23.932473951869813
367,18.14486259434418
368,19.965970301349177
369,20.05002786461397
370,20.458535811529263
371,16.03381884225357
372,19.78538875078892
373,21.78586724189307
374,19.81885701721192
375,21.519721948257637
376,19.553096252755537
377,20.042071390824034
378,18.313683472520225
379,17.494104130846654
380,20.865643670037084
381,24.673902661252527
382,23.253005679645813
383,14.406996185977638
384,14.718827152644907
385,25.365605157419406
386,18.986236157156515
387,26.097061752440553
388,30.67838099530235
389,16.59276575770954
