station_id,lat,lon,pm25,spatial_block
ag_166942,43.2938,77.2347,33.948553811659195,2
ag_166943,43.2639,76.8193,36.81610244988864,0
ag_167207,43.3838,77.1163,32.76475977653631,2
ag_167209,43.20179999999999,76.9368,21.66009090909091,3
ag_167213,43.2747,76.9808,26.760125427594076,1
ag_167214,43.2618,76.9186,23.239001109877915,3
ag_167215,43.2035,76.88689999999998,19.23711448598131,3
ag_167216,43.26339999999999,76.9319,25.298002219755823,3
ag_167221,43.3581,76.97939999999998,42.97034444444444,1
ag_167254,43.3238,76.9111,40.5311986681465,1
ag_167255,43.2049,76.8999,22.118521444695254,3
ag_167257,43.241181,76.933831,24.68973362930078,3
ag_167258,43.450782,76.94302900000001,46.92680459770115,4
ag_167259,43.2362,76.9652,22.32473625140292,3
ag_167263,43.3179,76.9374,40.5800665926748,1
ag_167264,43.3054,76.9312,42.82975582685905,1
ag_167265,43.3251,76.9866,30.111977777777778,1
ag_167266,43.303307,77.185303,30.2403125,2
ag_167270,43.3503,76.9888,34.923259423503325,1
ag_167415,43.2406,76.88240000000002,28.609247434435577,3
ag_167417,43.2452,76.9075,21.53769401330377,3
ag_167418,43.3115,76.9015,34.91602663706992,1
ag_167419,43.1729,76.8154,20.61056561085973,0
ag_167420,43.2777,77.0055,23.9483427922815,1
ag_167422,43.3121,77.098,26.19518475750577,2
ag_167424,43.2337,76.8642,24.225842572062085,0
ag_167428,43.2904,76.8507,56.136447058823535,0
ag_167430,43.3958,76.98649999999999,43.56554794520548,4
ag_167431,43.27060000000001,76.8612,41.8978196347032,0
ag_167432,43.2537,76.9064,24.715494994438263,3
ag_167433,43.2414,76.8608,24.897349665924278,0
ag_167435,43.358,76.9792,44.08488584474886,1
ag_167436,43.1933,76.9035,21.387602739726027,3
ag_167437,43.2636,76.8336,42.04588888888889,0
ag_167580,43.2355,76.9113,21.02930917327293,3
ag_167584,43.2497,76.9458,22.3288850967008,3
ag_167585,43.3782,76.8364,41.25696329254728,4
ag_167586,43.4134,76.914,45.47550951847704,4
ag_167589,43.2536,76.92830000000001,24.320199778024417,3
ag_167590,43.21987899999999,76.859159,22.11118701007839,0
ag_167592,43.2114,76.8434,23.100565410199557,0
ag_167593,43.2019,76.8766,20.48059564719359,3
ag_167594,43.2499,76.8143,30.48597114317425,0
ag_167596,43.2103,76.9083,21.68850114416476,3
ag_167597,43.2373,76.8333,27.74075085324232,0
ag_167598,43.2255,76.8685,22.2274182638106,3
ag_167601,43.1793,76.77009999999999,22.327466216216216,0
ag_167602,43.1919,76.9681,21.001136363636363,3
ag_167604,43.201,76.9136,22.458125,3
ag_167605,43.3322,76.6498,34.770435806831564,0
ag_167608,43.1885,76.9304,23.23104966139955,3
ag_167613,43.3239,77.0644,36.66537558685446,2
ag_167614,43.2267,76.9217,22.94640229885057,3
ag_167615,43.1658,76.8962,23.11421645997745,3
ag_167616,43.2169,76.8901,24.722796317606445,3
ag_167618,43.2645,76.9727,22.504949720670396,3
ag_167630,43.2209,76.8362,26.60056670602125,0
ag_167634,43.26619999999999,76.986,25.93265625,3
ag_167637,43.3611,76.9966,35.83416851441242,1
ag_167639,43.3549,76.9524,47.80423825887743,1
ag_167641,43.3299,76.9477,44.19655644241733,1
ag_167642,43.1759,76.8726,21.07283615819209,3
ag_167643,43.3364,76.9775,36.97994450610433,1
ag_167644,43.263037,76.957877,29.639099201824404,3
ag_167645,43.2886,76.97649999999999,24.680410490307867,1
ag_167646,43.3695,76.9869,35.41722530521643,1
ag_167647,43.3454,76.9588,47.27906873614191,1
ag_167649,43.1934,76.81859999999999,22.98017857142857,0
ag_167650,43.198,76.7905,27.23244668911336,0
ag_167651,43.3038,76.837,30.5200332963374,0
ag_167652,43.2668,76.8949,28.29983333333333,3
ag_167654,43.3253,76.9676,36.59514412416851,1
ag_167655,43.2735,76.8904,33.938416856492026,3
ag_167656,43.3118,76.9557,35.27526140155729,1
ag_167659,43.1868,76.8599,25.955167464114837,0
ag_167661,43.208327,76.81919799999999,24.044142212189616,0
ag_167662,43.4143,77.0315,41.26955555555556,4
ag_167663,43.3144,76.96570000000001,39.12950055493896,1
ag_167668,43.2197,76.80150000000002,26.905184770436733,0
ag_167670,43.3167,76.9266,39.17978935698448,1
ag_167673,43.3382,76.8995,43.56289678135405,1
ag_167674,43.2604,76.8725,28.106836847946724,3
ag_167675,43.2607,76.8858,26.23143015521064,3
ag_167677,43.4737,76.9641,40.60752650176679,4
ag_167678,43.31750000000001,77.2293,34.338178770949725,2
ag_167679,43.3049,76.9187,31.91108843537415,1
ag_167680,43.28110000000001,76.8806,30.919267480577133,3
ag_167683,43.3575,76.9354,41.053040540540536,1
ag_167687,43.21574,76.791652,27.280553672316387,0
ag_167688,43.3183,76.9783,26.46891111111111,1
ag_167689,43.3046,76.853,49.43425698324023,0
ag_167691,43.3177,76.9839,34.87115555555555,1
ag_167693,43.2227,76.8467,24.46900110987791,0
ag_167694,43.3148,77.0216,30.627702552719203,1
ag_167695,43.2015,76.7636,30.13792792792793,0
ag_167701,43.4012,76.7513,36.10541905855339,4
ag_167702,43.2487,76.88699999999999,27.225432372505544,3
ag_167706,43.25005,76.9179,23.25518847006652,3
ag_167709,43.2718,76.8449,42.39881243063263,0
ag_170429,43.2885,77.004,24.48137777777778,1
ag_171445,43.2358,76.9518,21.09608154020385,3
ag_171446,43.231494,76.934146,20.78691011235955,3
ag_171447,43.2374,76.89949999999999,26.27943728018757,3
ag_171448,43.222398,76.678183,27.976026637069925,0
ag_173261,43.2427,76.8175,30.854607268464243,0
ag_173269,43.2267,76.9492,20.33767494356659,3
ag_186392,43.213101,76.79506290000002,28.270680803571427,0
