metric,estimate,ci_low,ci_high,n_days
daily_mean_bias_sparse_minus_dense,5.955780386704589,3.8156999592083984,8.923185110101308,37
daily_mean_absolute_difference,6.050388937741711,4.021344531822679,9.002143826641852,37
