mean_bias,mae_daily_mean,mean_max_capture_ratio,mean_topdecile_recall,hotspot_day_detection_share,mean_sd_ratio
0.6858631887177612,1.8439213509379282,0.7974583392409645,0.1181818181818182,0.6486486486486487,0.8611481612810348
-0.6483711422644778,0.9350487253888867,0.7376387510731195,0.04422604422604423,0.35135135135135137,0.8776573189329827
-3.182579027629926,3.182579027629926,0.6387473109105268,0.002457002457002457,0.02702702702702703,0.6212688967193895
-0.50413048457988,1.0496897053391299,0.8272814275431312,0.11842751842751843,0.8648648648648649,1.086740262234803
-1.3412561060323753,1.5656994230329568,0.7705733029560764,0.07886977886977886,0.5945945945945946,0.9654911802771962
-2.3801971268146613,2.505275683096747,0.7777543368942584,0.0737100737100737,0.6756756756756757,0.9457554051685925
-2.585803325933637,2.591911656142653,0.7398625852113461,0.03685503685503685,0.35135135135135137,0.8882615600132961
0.683833632959838,1.231444531712522,0.8556868928201791,0.12825552825552822,0.8648648648648649,1.0834047011248562
2.813216945143185,2.813216945143185,0.8546997939359563,0.17248157248157248,0.972972972972973,1.0662372012434005
0.4969182727649834,1.0320061415581359,0.8053551159328184,0.09361179361179359,0.6486486486486487,0.9890396314470931
1.095191430383911,1.9288814443354791,0.9407178519243468,0.14275184275184274,0.9459459459459459,1.1365651263972019
5.31371654699223,5.459908956759437,0.8542236687520175,0.22186732186732186,0.918918918918919,1.0790501875400047
2.975175120101297,3.1117330405397694,0.8614549250644115,0.13783783783783782,0.918918918918919,1.049947818497634
-0.4627753928421347,0.9592152799782507,0.7689652961042993,0.0714987714987715,0.6486486486486487,0.9062941920322974
-1.944913204745054,2.0982220358392905,0.7581295298229126,0.049140049140049144,0.43243243243243246,0.9546322433423265
1.5232256015282608,1.6970745426194587,0.844598247029358,0.10098280098280096,0.7567567567567568,0.9973655747959237
-3.1646874917341408,3.1906961800527625,0.7088243286016602,0.034643734643734644,0.35135135135135137,0.8239801208139539
4.619178793326366,4.619178793326366,0.8352518369892082,0.17714987714987712,1.0,0.9789628342020675
-0.39574600693351797,1.1415389246114092,0.8563778357590164,0.12555282555282554,0.8918918918918919,1.0809162010405666
-0.0010135636310303192,0.6337994977309034,0.8545001951026984,0.13046683046683047,0.8918918918918919,1.1301534363831103
-0.1291185235564766,0.814894596774153,0.8451736934796134,0.09631449631449632,0.8108108108108109,1.0315428559240873
2.2763023833239155,2.453788720172057,0.8133851448994361,0.11818181818181817,0.8918918918918919,0.9196953823293343
-0.2874035734811513,0.8020604834575421,0.805019778642268,0.10098280098280096,0.8378378378378378,0.9831148389972082
1.5408116196648034,1.9749117004354355,0.7794596905109427,0.09115479115479114,0.7567567567567568,0.8770870009716103
-4.0659648514663065,4.0792408213137055,0.6417645529416394,0.00737100737100737,0.05405405405405406,0.6383313669133959
1.0543294868127286,1.4459170508734027,0.8868670097767822,0.21695331695331696,0.972972972972973,1.237959166719606
-3.4760777197977872,3.5569935302310545,0.723020537554756,0.024570024570024572,0.2702702702702703,0.7260235714694712
0.4318746117756375,0.7613468097168709,0.8445304400660492,0.1181818181818182,0.9459459459459459,1.0760176103838552
3.0438707001392675,3.0524828056633915,0.7939112267970615,0.12285012285012284,0.8108108108108109,0.9742413431236862
-2.22700223861361,2.6077032430632627,0.7827176602976105,0.0687960687960688,0.5945945945945946,0.9156589765410288
-1.5337707606437607,1.621488463031222,0.9062565164636682,0.08132678132678132,0.8378378378378378,1.052866886816827
1.6176736126215339,1.7579078952386507,0.8173809927240822,0.12309582309582308,0.8378378378378378,0.9763298519448864
-2.9144178184373035,2.9245697037205027,0.7889155152027254,0.07575757575757575,0.6944444444444444,0.9871264305615388
-3.2694182729723025,3.492911037754716,0.7641052236012135,0.05651105651105651,0.4864864864864865,0.8079172733380772
1.5596362716857322,1.5823738409858015,0.8905366511216766,0.17493857493857493,0.972972972972973,1.1482895523788035
2.60912210032545,2.609623157505079,0.934097493107021,0.17469287469287467,0.972972972972973,1.213658935631847
-0.0358503750555269,0.8858043108683352,0.7995332329554603,0.11597051597051596,0.8108108108108109,0.9921938607369508
