comparison,delta_MAE,delta_MAE_ci_low,delta_MAE_ci_high,delta_RMSE,delta_RMSE_ci_low,delta_RMSE_ci_high,bootstrap_unit,n_blocks,bootstrap_replicates,seed
Linear - TrainingMean,-3.6786858541134206,-5.350514883153421,-0.9646742018946801,-3.6265832573259225,-5.353491423453282,-0.8083537269831815,held-out spatial block,5,20000,20260906
IDW - TrainingMean,-2.138770594042021,-2.8063687937929727,-1.499769405010042,-1.9118420123258417,-2.889446293574994,-0.9065057498266391,held-out spatial block,5,20000,20260906
Quadratic - TrainingMean,-3.333797339812415,-5.594309656483684,2.3472365199807816,-1.8263215529419767,-5.433453694563746,5.994370685979273,held-out spatial block,5,20000,20260906
Linear - IDW,-1.5399152600713997,-2.80567459756581,0.7999667024509973,-1.7147412450000807,-2.9769947353405684,0.6050926435083275,held-out spatial block,5,20000,20260906
