model,n,MAE_pooled,RMSE_pooled,R2_pooled,MAE_block_macro,RMSE_block_macro
Linear,107,5.024542837086476,6.378182824662308,0.4169676762629862,5.671084380982087,6.861943379105175
IDW,107,6.5644580971578765,8.09292406966239,0.061337134582332,6.195225009170788,7.391847275190946
Quadratic,107,5.369431351387481,8.178444529046256,0.0413940278289631,8.276357086494368,10.285591015897753
XGBoost_coord_only,107,7.864233350590966,9.212571082255216,-0.216355180560082,7.170597838475883,8.447847744337095
XGBoost_coord_only_tuned,107,8.283533040591022,9.500012724382051,-0.293442358897084,7.294660443370806,8.354635849034882
TrainingMean,107,8.703228691199897,10.004766081988231,-0.4345397395933854,8.320798994012211,9.287621650012875
