model,n,MAE_pooled,RMSE_pooled,R2_pooled,MAE_block_macro,RMSE_block_macro,MAE_reduction_vs_training_mean_pct,RMSE_reduction_vs_training_mean_pct
IDW,107,6.5644580971578765,8.09292406966239,0.06133713458233203,6.195225009170788,7.391847275190946,24.57445012567114,19.10931246826217
Linear,107,5.024542837086476,6.378182824662308,0.41696767626298625,5.671084380982087,6.861943379105175,42.268059183979084,36.248556214172055
Quadratic,107,5.369431351387481,8.178444529046256,0.041394027828963176,8.276357086494368,10.285591015897753,38.305294024771754,18.25451527777282
TrainingMean,107,8.703228691199897,10.004766081988231,-0.43453973959338543,8.320798994012211,9.287621650012877,0.0,0.0
